IT SOURCE	EN SOURCE	GOOGLE TRANSLATE OOC	DEEPL OOC	MICROSOFT TRANSLATE OOC	IT SOURCE CONTEXT	EN GOLD STANDARD CONTEXT 	GOOGLE TRANSLATE IC	DEEPL IC	MICROSOFT TRANSLATE IC
pilastro di portico	portico pillar	porch pillar	porch pillar	porch pillar	Il capitello corinzio o il pilastro di portico o arco quadrifronte, sul lato est, testimoniano la fase monumentale della città	The Corinthian capital, or the portico pillar, both of them on the eastern side of the exposition, recall the monumental phase of Adria	The Corinthian capital or the pillar of a portico or four-faced arch, on the east side, testify to the monumental phase of the city	The Corinthian capital or the portico pillar or four-sided arch on the east side bear witness to the monumental phase of the city.	The Corinthian capital or the pillar of porch or four-faced arch, on the east side, testify to the monumental phase of the city
peristilium quadrato	square peristilium	peristilium square	square peristyle	square peristilium	L'erma era collocata nell'angolo occidentale del peristilium quadrato (quadriportico colonnato con giardino centrale)	The herma was placed in the western corner of the square peristilium (four-sided colonnade with a central garden)	The herm was located in the western corner of the square peristilium (quadriportico colonnade with a central garden	The herm was located in the western corner of the square peristilium (quadriporticus colonnade with central garden)	The herma was located in the western corner of the square peristilium (quadriportico colonnade with central garden)
fontane a vasca circolare	 fountains with a circular basin	circular basin fountains	circular fountains	circular tub fountains	al centro del complesso, dotato di un bacino centrale e, agli angoli, quattro fontane a vasca circolare,	in the middle of the structure that was provided with a central swimming pool and, at the corners, four fountains with a circular basin	in the center of the complex, with a central basin and, at the corners, four circular basin fountains,	at the centre of the complex, equipped with a central basin and, at the corners, four circular fountains,	in the center of the complex, equipped with a central basin and, at the corners, four circular tub fountains,
frammenti ceramici	ceramic fragments	ceramic fragments	ceramic fragments	ceramic fragments	Tale cronologia sembra trovare conferma dai pochi frammenti ceramici, databili al XII-XIII secolo, raccolti in due qanat (`ngruttatu in siciliano) della Piana dei Colli.	This chronology appears to be confirmed by the few ceramic fragments, dating from the 12th or 13th century, found in two qanat (`ngruttatu in Sicilian) on the plateau of the Piana dei Colli.	This chronology seems to be confirmed by the few ceramic fragments, datable to the XII-XIII century, collected in two qanat (`ngruttatu in Sicilian) of the Piana dei Colli.	This chronology seems to be confirmed by the few ceramic fragments, datable to the XII-XIII century, collected in two qanat (`ngruttatu in Sicilian) of the Piana dei Colli.	This chronology seems to be confirmed by the few ceramic fragments, dating from the 12th to 13th centuries, collected in two qanat ('ngruttatu in Sicilian) of the Plain of the Hills.
iscrizione bizantina	Byzantine inscription	Byzantine inscription	Byzantine inscription	Byzantine inscription	La prima testimonianza archeologica si trova lungo la Valle del Porco, uno dei tre accessi naturali alla sommità del monte, dove sulla parete destra verso metà della salita ci si imbatte in una iscrizione bizantina (databile ai primi decenni del VII secolo) che recita: Sii glorificato ovunque sempre, o Dio, alla cui sinistra è rappresentata una croce su un triangolo tra le lettere I e S. Sulle pareti della Grotta Niscemi, aperta alle spalle delle Scuderie Reali, si sono rinvenute figure incise esclusivamente zoomorfe (tori, cervi e piccoli equidi).	The initial archeological evidence is situated along the Valle del Porco, one of the three ways of reaching the top of the mountain, where on the right-hand wall, half way up the hill, there is a Byzantine inscription -- dating back to the early decades of the 7th century -- which reads: Be glorified wherever and ever, O God, whilst to the left of this there is a cross on a triangle between the letters I and S. On the walls of the `Niscemi' Grotto, open behind the Scuderie Reali, excavations have found engraved zoomorphic figures (bulls, deer and small equids).	The first archaeological evidence is found along the Valle del Porco, one of the three natural accesses to the top of the mountain, where on the right wall towards the middle of the climb you come across a Byzantine inscription (datable to the first decades of the 7th century) which reads:  Be glorified everywhere always, oh God , on the left of which a cross is represented on a triangle between the letters I and S. On the walls of the Niscemi Grotto, open behind the Royal Stables, exclusively zoomorphic engraved figures (bulls, deer and small equidae).	The first archaeological evidence can be found along the Valle del Porco, one of the three natural accesses to the top of the mountain, where on the right wall towards the middle of the climb we come across a Byzantine inscription (datable to the first decades of the 7th century) which reads: Be glorified everywhere always, O God, on the left of which is represented a cross on a triangle between the letters I and S. On the walls of the Grotta Niscemi, open behind the Royal Stables, only zoomorphic engraved figures (bulls, deer and small equids) have been found.	The first archaeological evidence is located along the Porco Valley, one of three natural accesses to the top of the mountain, where on the right wall towards the middle of the ascent you come across a Byzantine inscription (dated to the first decades of the 7th century) that reads: Be glorified everywhere always, or God, on whose left is represented a cross on a triangle between the letters I and S. On the walls of the Niscemimi , opened behind the Royal Stables, were found figures engraved exclusively zoomorfe (bulls, deer and small equids).
elementi architettonici	architectural elements	architectural elements	architectural elements	architectural elements	Continuando verso Ovest, si arriva alla Grotta del Bagno della Regina che, con quella dell'Acquasanta, fa parte di un complesso di antichi antri termali che comprendeva la cosiddetta peschiera e elementi architettonici inclusi nella settecentesca Villa Lanterna.	Continuing west, one reaches the Grotto `del Bagno della Regina' (The Queen's Bath), which with that of the Acquasanta, is part of an ancient complex of thermal caves that included the so-called fish pond and architectural elements incorporated into the18th century Villa Lanterna.	Continuing west, we arrive at the Grotta del Bagno della Regina which, together with that of Acquasanta, is part of a complex of ancient thermal caves which included the so-called fish pond and architectural elements included in the eighteenth-century Villa Lanterna.	Continuing westwards, we arrive at the Grotta del Bagno della Regina which, together with the Grotta dell'Acquasanta, is part of a complex of ancient thermal caverns that included the so-called peschiera and architectural elements included in the 18th century Villa Lanterna.	Continuing west, we arrive at the Queen's Bath Cave which, with that of the Aquasanta, is part of a complex of ancient thermal anaries that included the so-called fishing and architectural elements included in the eighteenth-century Lantern Villa.
incisioni parietali zoomorfe	parietal zoomorphic cravings	zoomorphic parietal incisions	zoomorphic wall engravings	zoomorfe parietal engravings	Le incisioni parietali zoomorfe finora note si trovano sullo sperone roccioso alla sinistra dell'ingresso.	The parietal zoomorphic carvings are on the rocky spur on the left of the entrance.	The zoomorphic parietal incisions known so far are found on the rocky spur to the left of the entrance.	The previously known zoomorphic wall engravings can be found on the rocky spur to the left of the entrance.	The so far known zoomorfe parietal engravings are found on the rocky outcrop to the left of the entrance.
cornici a stucco	stucco frames	stucco frames	stucco frames	stucco frames	Significativi i reperti databili tra il IV sec. a.C. ed il I sec. d.C. recuperati all'interno delle numerose cisterne dell'abitato ellenistico-romano tra cui frammenti di pavimento a mosaico, cornici a stucco o intonaci parietali e i corredi funerari delle tombe maggiormente rappresentative, inquadrabili tra il III sec. a.C. ed il I-II sec. d.C. costituiti da unguentari, lucerne, vasellame da cucina (tegami) e da mensa sia acromo (brocche,bottiglie) che a vernice nera (piatti, patere, coppe).	The more significant findings are dated between 4th century BC and 1st century AD and were mostly found inside the various cisterns from the settlements dating from Hellenistic-Roman times: fragments of mosaic flooring, stucco frames, plaster walls and funereal artifacts from the most important tombs, dating back to the 3rd century BC and the 1st-3rd century AD. These consist of ointment flasks, oil lamps, kitchen pottery (pans), and both achromic (jugs, bottles) and black glazed tableware (plates, libation bowls and cups).	The finds dating back to the 4th century are significant. B.C. and the first century. A.D. recovered inside the numerous cisterns of the Hellenistic-Roman inhabited area including fragments of mosaic floor, stucco frames or wall plaster and the funerary equipment of the most representative tombs, which can be classified between the third century. B.C. and the I-II century. A.D. consisting of ointments, oil lamps, kitchen pots (pans) and canteen both achromatic (jugs, bottles) and black varnish (plates, patere, cups).	There are significant finds dating back to between the 4th century B.C. and the 1st century A.D. found inside the numerous cisterns of the Hellenistic-Roman settlement, including fragments of mosaic floors, stucco frames or wall plaster and the funerary furnishings of the most representative tombs, which can be dated back to the 3rd century. B.C. and the 1st-2nd century A.D. made up of ointment jars, oil lamps, kitchenware (saucepans) and tableware both achromatic (jugs, bottles) and black varnish (plates, pâtés, cups).	Significant finds dating from the 4th century BC to the 1st century AD. recovered inside the numerous tanks of the Hellenistic-Roman village including fragments of mosaic floor, stucco frames or parietal plasters and the funerary kits of the most representative tombs, which can be framed between the 3rd century BC and the I-II century AD consisting of unguentari, light, cooking pottery (tegami) and canteen ,bottles) that in black paint (plates, patere, cups).
atrio tuscanico	Tuscan atrium	Tuscan atrium	Tuscanic atrium	Tuscan atrium	Nell'edificio si riconosce una parte più antica, risalente circa alla metà del I secolo a.C., organizzata attorno all'atrio* tuscanico	The oldest part of the building dates back to about the middle of the first century BC, and it is organized around the Tuscan atrium	An older part can be recognized in the building, dating back to about the middle of the 1st century BC, organized around the Tuscan atrium	In the building you can recognize an older part, dating back to about the middle of the 1st century B.C., organized around the Tuscanic atrium.	The building is home to an older part, dating from about the middle of the 1st century BC, organized around the Tuscan atrium
calidarium con suspensurae	calidarium with suspensurae	calidarium with suspensurae	calidarium with suspensurae	calidarium with suspensurae	nel quale si riconoscono un calidarium* con suspensurae* e la latrina vera e propria, divisa in due sezioni da un tramezzo	We can recognize a calidarium* with suspensurae* and the actual latrine, divided into two sections with a partition	in which we recognize a calidarium with suspensurae and the actual latrine, divided into two sections by a partition	in which you can recognise a calidarium* with suspensurae* and the actual latrine, divided into two sections by a partition	in which you recognize a calidarium with suspensurae and the actual latrine, divided into two sections by a plot
cista in argilla	clay cistus	clay cyst	clay cyst	cista in clay	Si noti la cista in argilla, a volte non cotta, posta a all'esterno della tomba e che conteneva il corredo esterno.	Note the clay cistus, sometimes baked, placed outside the tomb, which contained the outside kit.	Note the clay cyst, sometimes unbaked, placed outside the tomb and which contained the external equipment.	Note the clay cyst, sometimes unfired, placed on the outside of the tomb and which contained the external outfit.	Note the clay cysta, sometimes unceded, placed to the outside of the tomb and which contained the outer set.
cornice a meandro policromo	polychrome meander frame	polychrome meander frame	polychrome meander frame	polychrome meander frame	Dotato di apertura nel tetto (compluvium*) e corrispondente vasca al centro del pavimento (impluvium*) destinata alla raccolta dell'acqua piovana, presenta una pavimentazione a mosaico di tessere bianche con cornice a meandro policromo	The atrium has an opening in the roof (compluvium*) and corresponding basin in the middle of the floor (impluvium*) to collect rainwater. It has a mosaic white tesserae floor with a polychrome meander frame.	Equipped with an opening in the roof (compluvium *) and a corresponding basin in the center of the floor (impluvium *) intended for the collection of rainwater, it has a mosaic floor of white tiles with a polychrome meander frame	Equipped with an opening in the roof (compluvium*) and a corresponding basin in the centre of the floor (impluvium*) for rainwater collection, it has a mosaic floor made of white tiles with a polychrome meander frame	Featuring a roof opening (compluvium) and corresponding bathtub in the middle of the floor (impluvium) intended for rainwater collection, it features a mosaic flooring of white tiles framed with polychrome meandering
fregio superiore	upper frieze	upper frieze	upper frieze	upper frieze	Nel fregio superiore vi sono quattro quadri con natura morta	On the upper frieze there are four paintings with still life	In the upper frieze there are four paintings with still life	In the upper frieze there are four still life paintings	In the upper frieze there are four paintings with still life
imagines clipeatae	imagines clipeatae	imagines clipeatae	imagines clipeatae	clipeatae images	Le pareti conservano parte della sontuosa decorazione di II stile*: colonnati decorati con imagines clipeatae	On the walls we still see part of the sumptuous Second Style*: colonnades decorated with imagines clipeatae	The walls retain part of the sumptuous 2nd style * decoration: colonnades decorated with clipeatae images	The walls preserve part of the sumptuous decoration of II style*: colonnades decorated with imagines clipeatae	The walls retain part of the sumptuous decoration of the Style: colonnats decorated with clipeatae images
piccolo sacello domestico	small home chapel	small domestic shrine	small household bag	small domestic sacello	Deve il suo nome alla decorazione in stucco di un ambiente che si apre presso l'atrio*, probabilmente un piccolo sacello domestico, con scene della guerra di Troia.	It owes its name to the stucco decoration of a room that opens near the atrium*, which probably consisted of a small home chapel, with scenes of the Trojan War.	It owes its name to the stucco decoration of a room that opens near the atrium *, probably a small domestic chapel, with scenes from the Trojan War.	It owes its name to the stucco decoration of a room that opens in the atrium*, probably a small domestic sacellum, with scenes from the Trojan War.	It owes its name to the stucco decoration of an environment that opens at the atrium, probably a small domestic sacello, with scenes from the Trojan War.
scudo circolare	round shield	circular shield	circular shield	circular shield	sembra rappresentare una manica (per la protezione del braccio del gladiatore) e uno scudo circolare.	seems to represent a leather sleeve to protect the gladiator's arm (manica) and a round shield.	it seems to represent a sleeve (for the protection of the gladiator's arm) and a circular shield.	seems to represent a sleeve (for the protection of the gladiator's arm) and a circular shield.	it appears to represent a sleeve (for the protection of the gladiator's arm) and a circular shield.
tegulae mammatae	tegulae mammatae	tegulae mammatae	tegulae mammatae	tegulae mammatae	Il calidarium*, la sala da bagno riscaldata con aria calda proveniente dalla contigua cucina, presenta le caratteristiche tipiche di questo genere di ambienti: le tegulae mammatae*, lastroni in terracotta distanziati dalla parete mediante sporgenze presso gli angoli, e le suspensurae*, colonnine fittili cave o pilastrini in mattoni sui quali poggia il pavimento.	The calidarium*, the heated bath with hot air coming from the adjoining kitchen, has the typical characteristics of this kind of room: the tegulae mammatae*, terracotta slabs spaced from the wall by protrusions near the corners, and the suspensurae*, hollow earthenware columns or small brick pillars upon which the suspended floor rested.	The calidarium *, the bathroom heated with hot air from the adjoining kitchen, has the typical characteristics of this kind of rooms: the tegulae mammatae *, terracotta slabs spaced from the wall by protrusions at the corners, and the suspensurae *, small columns clay hollows or brick pillars on which the floor rests.	The calidarium*, the bathroom heated with hot air from the adjoining kitchen, has the typical characteristics of this type of room: tegulae mammatae*, terracotta slabs spaced from the wall by projections at the corners, and suspensurae*, hollow clay columns or brick pillars on which the floor rests.	The calidarium, the warm air-heated bathroom from the adjacent kitchen, has the typical characteristics of this kind of environment: the tegulae mammatae, terracotta slabs spaced from the wall by ledges at the corners, and the suspensurae, hollow columns or brick pillars on which the floor rests.
theatrum tectum	theatrum tectum	theatrum tectum	theatrum tectum	theatrum tectum	L'Odeion, o theatrum tectum come veniva chiamato dai Romani, venne costruito durante i primi anni della colonia (79 a.C.),	The Odeon or theatrum tectum as it was called by the Romans, was built during the early years of the colony (79 BC),	The Odeion, or theatrum tectum as it was called by the Romans, was built during the first years of the colony (79 BC),	The Odeion, or theatrum tectum as it was called by the Romans, was built during the first years of the colony (79 B.C.),	The Odeion, or theatrum tectum as it was called by the Romans, was built during the early years of the colony (79 BC),
testa femminile	female head	female head	female head	female head	Una cura e un benessere particolari attesta un ricco corredo, che propone due vasi plastici, l'uno a testa femminile e firmato del vasaio Doroteo, l'altro a forma di delfino.	A rich funerary kits attests to particular care and well-being, it contains two soft pots, one in the shape of a female head and signed the potter Doroteo, the other in the shape of a dolphin.	Particular care and well-being testify to a rich set, which offers two plastic vases, one with a female head and signed by the potter Doroteo, the other in the shape of a dolphin.	A special care and wellbeing attests to a rich trousseau, which offers two plastic vases, one with a female head and signed by the potter Doroteo, the other in the shape of a dolphin.	A special care and well-being attests to a rich set, which proposes two plastic vases, one with a female head and signed by the potter Doroteo, the other in the shape of a dolphin.
testa maschile	male head	male head	male head	male head	Prevalentemente dagli edifici che a cda. Diana si affacciavano in età romana sugli assi viari e sul grande spiazzo delimitato a ovest dalla torre e dal circuito murario di età greca derivano una riproduzione di testa di Dioniso nell'iconografia della statua di culto dal tempio di Apollo di Delfi, una testa elmata, un busto femminile, e una testa maschile fortemente espressiva, anch'essa probabilmente da un rilievo degli inizi del III secolo d.C. Dalla stessa zona provengono due frammenti delle medesime dimensioni della statuetta in marmo di bambina databile ad età antonina.	Mainly in the buildings that in Contada Diana, in Roman times, looked out on the roads and on the large open space bordered on the west by the tower and the city walls of the Greek era, discoveries were made of a reproduction head of Dionysus in the cult statue iconography of the temple of Apollo at Delphi, a helmeted head, a female torso and a very expressive male head, which is also likely to be from a relief of the early third century AD Two fragments originate from the same area of the same size of the marble statuette of a child dating back to the Antonine period.	Mainly from the buildings that at the board of directors. Diana overlooked the road axes in Roman times and the large clearing bordered to the west by the tower and the wall circuit of the Greek age derive a reproduction of the head of Dionysus in the iconography of the cult statue from the temple of Apollo of Delphi, a helmeted head, a female bust, and a strongly expressive male head, also probably from a relief of the early third century AD From the same area come two fragments of the same size of the marble statuette of a child dating back to the Antonine period.	Mainly from buildings in cda. In Roman times Diana overlooked the road axes and the large open space bounded to the west by the tower and the wall circuit of the Greek age, a reproduction of the head of Dionysus in the iconography of the cult statue from the temple of Apollo of Delphi, a helmet-shaped head, a female bust, and a strongly expressive male head, also probably from a relief of the early third century AD. From the same area come two fragments of the same size of the marble statuette of a girl dating back to the Antonine age.	Mostly from buildings than cda. Diana faced in Roman times on the road axes and on the large embossed embossed to the west by the tower and the Greek wall circuit derive a reproduction of Dionysian's head in the iconography of the statue of worship from the temple of Apollo of Delphi, an elmata head, a female bust, and a strongly expressive male head, also probably from a relief of the beginning of the 3rd century AD. From the same area come two fragments of the same size as the marble figurine of a girl dating from the age of Antonina.
tetto a cupola	domed roof	domed roof	domed roof	domed roof	costruzione di derivazione culturale islamica che presenta una pianta quadrangolare e tetto a cupola.	This construction, cuboid and with a domed roof, was influenced by Islamic culture.	building of Islamic cultural derivation that has a quadrangular plan and a domed roof.	a building of Islamic cultural derivation with a quadrangular plan and domed roof.	Islamic culturally derived construction that features a quadrangular plan and domed roof.
piede distinto	distinct base	distinct foot	distinct foot	distinct foot	La coppa in cristallo di rocca lavorato ad intaglio ed incisione, presenta un orlo ingrossato, vasca profonda, anse verticali con raccordo piatto orizzontale sull’orlo ingrossato, su piede distinto.	The rock crystal cup, worked with the techniques of intaglio and engraving, presents a thickened rim, a deep basin, vertical handles connected to the rim with a horizontal flat joint and a distinct base.	The rock crystal bowl worked with carving and engraving, has a thickened rim, deep bowl, vertical handles with flat horizontal connection on the thickened edge, on a separate foot.	The rock crystal cup, carved and engraved, has an enlarged hem, deep basin, vertical handles with horizontal flat connection on the enlarged hem, on a separate foot.	The rock crystal cup worked with carving and engraving, has an enlarged hem, deep tank, vertical joints with horizontal flat fitting on the enlarged hem, on a distinct foot.
